,title,view,like,unlike,comment,date,token2
46,깡에 중독된 아들1일 5깡엄마 질색하는거 너무 웃김,1461049,3000,782,2988,2020.5.22,"['아들', '중독', '질색', '엄마']"
47,만약 럭셔리 크루즈 여행인척 원양어선을 태운다면 '남매세끼 12화',506632,8600,141,591,2020.5.20,"['남매', '인척', '어선', '세끼', '크루즈', '원양', '럭셔리', '만약', '여행']"
48,남매세끼들 밥굽남 형님 앞에서 오늘 사고 제대로 쳤습니다 '남매세끼 11화',484087,5200,93,366,2020.5.13,"['사고', '남매', '세끼', '형님', '제대', '오늘']"
49,엄마 우리 결혼해,1043761,14000,240,1108,2020.5.8,"['결혼', '엄마']"
50,밥굽남 집에 유이랑 무작정 쳐들어갔습니다 Feat 통삼겹&파채비빔면 '남매세끼 10화 특집',1095794,11000,335,928,2020.5.6,"['채비', '남매', '세끼', '이랑', '특집']"
51,남매세끼 1화5화+미방분 모아보니 이젠 진짜 한편의 시트콤이 만들어졌엌,544545,7800,162,678,2020.5.1,"['남매', '한편', '세끼', '시트콤', '방분']"
52,큰일났어요 돼지가 돼지를 먹습니다 Feat 꼬치구이 '남매세끼 9화',277592,5800,65,538,2020.4.29,"['돼지', '남매', '구이', '세끼', '꼬치']"
53,급정거로 음식 쏟기 몰카하는 초보 유튜버들 150만 유튜버가 참교육 시켜주깈,811915,12000,250,574,2020.4.24,"['음식', '버들', '급정거', '초보', '참교육']"
54,유이가 수영복을 챙겨온 이유 '남매세끼 8화',1051474,15000,288,1333,2020.4.22,"['수영복', '세끼', '남매', '이유']"
55,조재원 죽음의 ASMR '엄마편' 12탄 Feat 물건 먹방,913278,23000,359,3029,2020.4.14,"['죽음', '물건', '엄마']"
56,내가 유이랑 촬영 안 하게 된 이유 '남매세끼 7화',417423,7200,123,607,2020.4.10,"['남매', '촬영', '세끼', '내가', '이랑', '이유']"
57,남매세끼 플레이 플레이 한 번에 모아보니 진짜 이걸로 음반도 가능할 듯,281363,9700,64,620,2020.4.6,"['남매', '세끼', '가능', '플레이', '음반']"
58,재원 백숙 vs 유이 백숙 '남매세끼 6화',436019,7700,94,478,2020.4.3,"['백숙', '세끼', '남매']"
59,남자들의 자존심으로 시작된 양초 꺼질때까지 3000배 절 해보기 조재원 vs 강민석,112168,2400,51,488,2020.3.31,"['자존심', '남자', '양초', '시작']"
60,유이 사고쳤습니다 '남매세끼 5화',938859,13000,349,915,2020.3.27,"['세끼', '사고', '남매']"
61,결국 크게 싸웠습니다 대형 킹크랩 블랙타이거 먹방 '남매세끼 4화',673932,11000,164,892,2020.3.20,"['남매', '블랙', '대형', '세끼', '킹크', '타이거']"
62,유이랑 꽃게 잡다 서로 머리 채 잡았습니다 '남매세끼 3화',759976,13000,185,1095,2020.3.14,"['남매', '꽃게', '세끼', '머리', '이랑']"
63,좀비 VS 선비 당신은 어떤 남자를 선택하시겠습니까 조재원의 아찔한소개팅 2탄 Feat 박민정,235482,3300,65,376,2020.3.12,"['선택', '소개팅', '선비', '좀비', '남자', '민정']"
64,강제 폐가 체험 '남매세끼 2화',763960,14000,178,1357,2020.2.28,"['폐가', '남매', '세끼', '강제', '체험']"
65,유이랑 같이 살게 된 이유 '남매세끼 1화',1614530,23000,335,2651,2020.2.26,"['세끼', '이랑', '남매', '이유']"
66,상황극에 중독된 여동생 26 진짜 이 정도면 오스카상 유이가 받아야함,2432576,59000,686,3239,2020.2.14,"['오스카', '중독', '상황', '여동생', '정도']"
67,여자친구에게 대놓고 바람필거라고 예고한다면,699427,9800,164,395,2020.2.7,"['예고', '여자', '바람', '친구']"
68,맨날 다이어트한다고 말만 하는 친구 모든 음식 '반'만 줘보깈실제 가수까지 데려옴,316815,5200,95,294,2020.2.6,"['음식', '친구', '가수', '실제', '다이어트']"
69,롤스로이스 외계인 하늘궁 그를 둘러싼 논란과 진실 모든걸 강제로 낱낱이 공개해버리겠닼 조재원의 하우스어택 10화 Feat 허경영,661958,11000,757,2851,2020.1.26,"['어택', '논란', '경영', '원의', '하우스', '진실', '로이스', '외계인', '하늘', '강제', '공개']"
70,갑자기 집에 왔는데 낯선남자가 샤워를 하고 있다면,918640,1000,245,373,2020.1.15,"['샤워', '남자']"
71,조재원 죽음의 ASMR '엄마편' 11탄 Feat 원칩 챌린지 'PAQUI ONE CHIP CHALLENGE',1117464,19000,370,1884,2020.1.11,"['죽음', '챌린지', '엄마']"
72,이사갔다고 너의 모든걸 강제로 최초공개한닼 조재원의 하우스어택 9화 Feat 김유이,3469396,39000,982,2923,2020.1.3,"['어택', '원의', '하우스', '이사', '최초', '강제', '공개']"
73,여자친구에게 800일 기념 뱀을 선물해준다면파다닥 파다닥 날뜀,631683,8300,192,521,2019.12.13,"['선물', '여자', '기념', '친구']"
74,페북스타에서 맥심화보까지 찍은 그녀의 집을 강제로 쳐들어가보았닼 조재원의 하우스어택 8화 Feat 박민정,2412683,22000,559,1567,2019.12.7,"['어택', '강제', '원의', '하우스', '민정', '심화', '가보']"
75,엄마 쿠킹클래스 손님인척 음식배우러 왔는데 손님이 만약 바람난 부부라면눈치 계속 봐,976024,14000,219,590,2019.12.5,"['음식', '손님', '인척', '클래스', '부부', '눈치', '만약', '엄마']"
76,몸치 파워 유튜버들의 상금 100만원을 건 숨막히는 대결파닥파닥 물고기냨,566400,7300,132,530,2019.11.23,"['대결', '상금', '물고기', '파워']"
77,박혜원 열성팬한테 통화시켜준다고 거짓말하고 진짜 박혜원을 데려온다면반응봐,3413220,52000,609,4027,2019.11.20,"['열성', '반응', '거짓말', '통화', '진짜']"
78,찐따 VS 오타쿠 당신은 어떤 남자를 선택하시겠습니까 조재원의 아찔한 소개팅 Feat 심재희,1488675,14000,475,2169,2019.11.1,"['선택', '소개팅', '남자', '심재', '오타쿠']"
79,엄마에게 갑작스런 결혼 소식을 전한다면몸도 안좋고 뭔가이상함,1039744,13000,232,772,2019.10.25,"['가이', '결혼', '소식', '엄마']"
80,진짜 이별한 친구 새 사랑 찾으라고 송하예 데려와서 새 사랑 직접 들려주깈 Feat 송하예,2432586,34000,707,2848,2019.10.17,"['이별', '사랑', '친구']"
81,상황극에 중독된 여동생 25 니가 드디어 미쳤구낰제발 유이 좀 말려주세요,2880770,61000,762,2366,2019.10.12,"['여동생', '중독', '상황']"
82,여사친이랑 노래방가서 노래부르는데 진짜 원곡 가수가 나타난다면 Feat 송하예,1892166,26000,368,2350,2019.10.4,"['노래', '사친', '가수', '원곡', '노래방', '진짜']"
83,친한 형 집에서 자꾸 여자친구의 흔적이 발견된다면원투쓰리포 버블 버블,2553470,3000,627,1542,2019.9.28,"['여자', '흔적', '친구', '발견', '쓰리', '버블']"
84,인형탈 몰카 4탄) 귀여운 동물들이 지나가는 여성의 마음을 훔친다면음흉한 눈빛보소,2758935,34000,737,1456,2019.9.21,"['인형', '동물', '마음', '여운', '음흉', '눈빛', '보소', '여성']"
85,상황극에 중독된 여동생 '협찬편'드디어 밝혀지는 우리가 싸우는 이유그냥 얼굴만 봐도 싸워,836237,13000,190,820,2019.8.23,"['중독', '상황', '얼굴', '협찬', '여동생', '이유']"
86,광복절특집대놓고 친일파라며 억지로 몰아가기,547373,11000,603,915,2019.8.14,"['억지', '특집', '광복절']"
87,상황극에 중독된 여동생 '싸대기 특집편' 보는 내가 아파여러분들의 요청으로 드디어 올립니다,950915,16000,200,1133,2019.8.9,"['중독', '요청', '내가', '대기', '상황', '여동생', '특집']"
88,조재원 죽음의 ASMR '엄마편' 10탄 With언박싱,310877,7500,100,700,2019.8.6,"['죽음', '엄마']"
89,제 3회 조재원vs김유이 '기본상식대결' 인데 머리가썩음바보들의 대환장파팈,383757,5600,106,360,2019.7.31,"['대결', '장파', '머리', '상식', '대환', '바보', '기본']"
90,제 2회 조재원vs김유이 어떠한 최악의 랜덤 음식이 나와도 맛있게먹어라 게임구독자 여러분 판단에 맡깁니다,612812,8000,147,471,2019.7.26,"['구독자', '최악', '음식', '랜덤', '판단', '게임']"
91,2탄) 평소에 절대 안놀라는형 절대 놀라게해주깈쎈척좀 그만하라고팔딱팔딱,1331710,18000,467,602,2019.7.24,"['평소', '절대']"
92,상황극에 중독된 여동생 24 드디어 떴다이건 진짜 안보면 후회합니닼민방위 훈련 경보,2815656,56000,790,3203,2019.7.19,"['안보', '중독', '훈련', '상황', '민방위', '경보', '회합', '여동생', '진짜']"
93,인형탈 몰카 3탄) 한강에서 친근한척 물건을 훔쳐가본다면시민들 반응봨,2983159,43000,929,1505,2019.7.17,"['반응', '인형', '물건', '시민']"
94,내 맘대로 집 쳐들어가깈 이정도면 나름 잘 쳐들어갔죠 조재원의 하우스어택 7화 Feat 나름,1248632,12000,325,701,2019.7.12,"['어택', '이정', '원의', '하우스', '도면', '나름']"
95,제 1회 조재원의 슈퍼스타J 진짜 실력자를 찾아라 역대 레전드 우승자 아이돌 다 나옴에이 설마 진짜 현타오는 조재원,304125,5600,106,539,2019.7.9,"['아이', '우승자', '실력자', '역대', '진짜', '슈퍼스타']"
96,상황극에 중독된 여동생 '딱밤 특집편' 이렇게 통쾌할수가없닼유쾌 상쾌 통쾤,2842173,43000,904,3643,2019.7.5,"['수가', '중독', '통쾌', '상황', '여동생', '특집']"
97,맨날 홍보해달라고 하는 형 홍보하는척하면서 제품 다 부숴버리깈,571732,9900,585,659,2019.7.3,"['제품', '홍보']"
98,맨날 유명해지고싶다는 형 약점을 유명하게 만들어주깈,475029,8500,215,371,2019.6.26,"['유명', '약점']"
99,제 1회 조재원 VS 김유이 조시벨 게임니는 진짜 두고보자 (벌칙 : 이기는사람이 시키는대로 SNS에 사진 올리기빵),540147,9500,120,612,2019.5.31,"['조시', '사람', '사진', '벌칙', '게임']"
100,인형탈 몰카 2탄) 귀여운 동물들이 갑자기 여자친구를 빼앗아간다면,2470476,33000,770,1489,2019.5.24,"['인형', '여자', '친구', '동물', '여운']"
101,엄마 축가로 결혼식장 뒤집어짐여러분 제발 엄마 좀 말려주세욬,9016675,47000,400,2228,2019.5.18,"['주세', '축가', '결혼식장', '엄마']"
102,상황극에 중독된 여동생 611탄 진짜 한편의 영화가 만들어짐 ,3556360,84000,1100,3781,2019.5.13,"['중독', '한편', '영화', '상황', '여동생', '진짜']"
103,소속사 계약 해지 당했습니다,504278,5700,186,310,2019.5.9,"['해지', '소속', '계약']"
104,보물섬 손절합니다,291149,5200,132,616,2019.5.3,['보물섬']
105,눈만 마주치면 돌변하는 양세형 챌린지화내는데 명분이 없음,346446,7300,94,422,2019.4.23,"['명분', '돌변', '챌린지']"
106,마 이게 바로 Swag 이다 조재원의 하우스 어택 6화 Feat 키썸,824647,8300,208,516,2019.4.18,"['원의', '하우스', '어택']"
107,맨날 한입만 달라는형 한이 맺힌 한입만으로 죽을때까지 따라다니깈,328938,4200,108,265,2019.4.12,['한입']
