,title,view,like,unlike,comment,date,token2
62,김재투님의 오버워치 실력...생각보다 놀랐습니다ㄷㄷ,278862,6600,188,4278,2020.10.16,"['오버', '실력', '생각']"
63,김재원 코스프레를 본 주변 유튜버 반응ㅋㅋㅋㅋㅋㅋ,399035,1000,214,3065,2020.10.15,"['반응', '주변', '스프', '김재원']"
64,솔직히 요즘 유튜브댓글 이것좀 그만했으면.....,248235,7000,108,7414,2020.10.14,"['요즘', '튜브']"
65,충격의 김재원 디바 코스프레,427708,12000,757,7319,2020.10.13,"['김재원', '스프', '충격']"
66,횟집 사장님이 피시방을 창업하면 생기는일ㅋㅋㅋㅋㅋ,498315,11000,225,4858,2020.10.12,"['창업', '사장님', '횟집']"
67,모든것이 무기가 되는 개막장 게임ㅋㅋㅋㅋㅋㅋ,196322,4400,90,1206,2020.10.11,"['무기', '개막', '게임']"
68,군대간 게렌이한테 전화가 왔습니다...,276639,7400,124,1716,2020.10.10,"['군대', '전화']"
69,제 인트로를 따라하는 유튜버를 봤습니다...,408049,9900,145,2249,2020.10.9,[]
70,타이어가 터져서 큰일날뻔 했습니다...,287335,7600,144,2628,2020.10.8,['타이어']
71,오버워치......ㅎㅎ,389856,9300,218,2794,2020.10.7,['오버']
72,논산훈련소 앞에 식당이 그렇게 최악이라는데...,476113,9600,179,3159,2020.10.6,"['훈련', '식당', '최악']"
73,게렌이 군대 보내주고 왔습니다ㅋㅋㅋㅋ,411062,11000,145,5077,2020.10.5,['군대']
74,게렌아 군대 조심히 갔다와라!!!!,600693,15000,186,5351,2020.10.4,"['군대', '조심']"
75,지금의 김재원을 있게해준 초딩때 담임쌤썰ㅋㅋㅋㅋㅋㅋㅋ,552088,11000,207,3108,2020.10.3,"['지금', '담임', '김재원']"
76,조금 위험한 QnA(술먹방),229234,6300,103,1568,2020.10.2,['위험']
77,롯X리아 밀리터리 버거 인성 문제있어?,643500,12000,284,2673,2020.10.1,"['인성', '문제']"
78,진짜 말도안되는 핵쟁이를 만났다...,315751,6200,222,1348,2020.9.30,[]
79,요즘 아이들은 모른다는 전설의 모니터 (세게장소 01),246625,6200,116,2246,2020.9.29,"['요즘', '모니터', '아이', '장소', '전설']"
80,어몽어스 극혐 유저 TOP1,271249,5900,139,,2020.9.28,['유저']
81,절대 뒤를 돌아보면안돼!!!!!!!!!!!,223916,5100,110,1090,2020.9.27,['절대']
82,디바 코스프레...ㅎㅎ,346258,7900,235,2159,2020.9.26,['스프']
83,모르는 아저씨가 제 집에 무단으로 침입하고 절도를 했습니다..,443077,9000,259,2004,2020.9.25,"['침입', '절도', '무단', '아저씨']"
84,김재투님이랑 드디어 현실합방 했습니다...,457548,12000,317,9232,2020.9.23,"['합방', '현실']"
85,옵몽어스에서 싸이코 인성질을 해봤습니다ㅋㅋㅋㅋㅋ,405816,6300,142,1048,2020.9.22,"['성질', '싸이코']"
86,곧 군대가는 게렌이집 결국 팔았습니다,312582,7900,255,2305,2020.9.21,"['군대', '결국']"
87,오버워치 어몽어스모드 퀄리티 대박임ㅋㅋㅋ,612242,8900,248,1094,2020.9.20,"['오버', '모드', '퀄리티', '대박']"
88,오버워치와 롤 소름돋는 유사점ㅋㅋㅋㅋ,357694,6600,268,2613,2020.9.19,"['소름', '유사점']"
89,한순간에 전국적으로 인성문제 있는사람이 되었습니다...,712962,14000,258,2013,2020.9.18,"['사람', '전국적', '문제', '한순간', '인성']"
90,신이내린 즐겜유저 김재원의 즐겜워치 #25 (오버워치 하이라이트 영상모음),563933,9500,247,,2020.9.17,"['김재원', '유저', '영상', '오버', '모음', '하이라이트']"
91,H교관님 가르침 잊지않겠습니다,268068,6300,137,1369,2020.9.16,"['교관', '가르침']"
92,재원님 오버워치 버리셨나요?,365084,9700,203,2526,2020.9.15,"['오버', '원님']"
93,근처 여스들한테 갑자기 헤어지자고 해보았다...,752485,17000,220,4098,2020.9.14,['근처']
94,곧 군대가는 미필동생 진짜 군대밥 먹여봤습니다ㅋㅋㅋㅋ,632862,1000,238,2834,2020.9.13,"['군대', '동생', '미필']"
95,결국 미쳐버린 즐겜유저들의 어몽어스 (2탄),872555,11000,304,1670,2020.9.12,[]
96,어몽어스 10명이 다 멍청하면 생기는일ㅋㅋㅋ (1편),1287723,15000,463,3562,2020.9.11,[]
97,옵치하면서 가장 빡겜하는순간,612752,9500,336,2885,2020.9.10,['순간']
98,이건 내가 뽑은 람보르기니 우라칸이야,342181,6800,200,2179,2020.9.9,['내가']
99,어몽어스에서 나대서 죄송합니다,709023,11000,265,1236,2020.9.8,[]
100,드디어 김재투님이랑 영상통화 했습니다,496604,14000,457,8660,2020.9.7,"['통화', '영상']"
101,게렌이 군대 간다고 해서 모였습니다,341373,7700,120,2209,2020.9.6,['군대']
102,임포스터가 멍청하면 생기는일,883964,12000,280,1645,2020.9.5,['포스터']
103,오버워치에 좀비가 나타난다면..?,375320,7200,157,1518,2020.9.4,[]
104,어몽어스 버그때문에 억울하게 죽었습니다....,1061405,14000,330,1909,2020.9.3,['버그']
105,신이내린 즐겜유저 김재원의 즐겜워치 #24 (오버워치 하이라이트 영상모음),847734,13000,377,4749,2020.9.2,"['김재원', '유저', '영상', '오버', '모음', '하이라이트']"
106,어몽어스하면서 가장 말이 많아지는 순간,1377397,14000,432,1446,2020.9.1,['순간']
107,방송 정지 당할뻔했습니다,329542,7500,125,1497,2020.8.31,"['방송', '정지']"
108,이 동영상의 피시방이 문을 닫았습니다...,386067,9800,156,,2020.8.30,['동영상']
109,게렌이 군대갑니다 (어그로 아님),520541,12000,193,4869,2020.8.29,"['군대', '그로']"
110,어몽어스에서 본 미친 컨셉충들ㅋㅋㅋㅋㅋㅋ(우주마피아),788428,12000,281,1692,2020.8.28,"['우주', '마피아']"
111,유튜버 원정상 그만 나대라 진짜 [연기학원 Ep1],569826,16000,501,12588,2020.8.27,"['원정', '진짜', '학원', '연기']"
112,김재원의 첫 어몽어스. 첫 임포스터 [우주마피아],1199758,17000,530,2237,2020.8.26,"['포스터', '우주', '마피아', '김재원']"
113,김재투님 이 영상보시고 연락주세요 안그러면 고소합니다,722773,16000,424,8831,2020.8.25,"['고소', '연락', '영상', '주세']"
114,K리그에서 축구영상 보고 연락이 왔습니다...,409808,7100,165,1975,2020.8.24,"['영상', '보고', '축구', '연락', '리그']"
115,오버워치 닉네임 변경권에만 약 100만원 썼습니다...,336836,8000,165,2384,2020.8.23,"['오버', '닉네임', '변경']"
116,상대방 원딜 녹여버린 김재원 리븐ㄷㄷ,309916,6300,225,2163,2020.8.22,"['상대방', '김재원']"
117,사과방송중 웃어버린 심각한 상황입니다,823446,16000,290,2961,2020.8.21,"['방송', '상황', '사과', '심각']"
118,게임은 장비빨이다 [Ep1],299447,7500,199,3389,2020.8.20,"['게임', '장비']"
119,3.....2.....1.....,382729,11000,237,2578,2020.8.19,[]
120,롤에서 인성질의 눈을 다시 떴습니다ㅋㅋㅋㅋㅋ,777676,13000,495,3909,2020.8.18,['인성']
121,저는 더 이상 오버워치 유튜버가 아닙니다,433039,13000,451,5459,2020.8.17,"['오버', '이상']"
122,뽀뽀,261350,8000,210,3531,2020.8.16,['뽀뽀']
123,이제야 밝힙니다..,544781,11000,255,2179,2020.8.15,[]
124,진짜 개웃긴 해적게임ㅋㅋㅋㅋ(Feat.개노답 삼형제),526576,1000,291,2405,2020.8.14,"['형제', '해적', '게임']"
125,형독형 보고있어? 군대 조심히 갔다와ㅠㅠ,468577,9300,173,3344,2020.8.13,"['군대', '조심']"
126,세상에서 가장 신기한 마우스....과학의 발전 ㄷㄷ,335693,7400,143,2445,2020.8.12,"['과학', '기한', '마우스', '세상', '발전']"
127,가짜사나이 교관님들이 생각하는 김재원은...?,728714,14000,251,2940,2020.8.11,"['가짜', '사나이', '김재원']"
128,김재원의 축구실력 드디어 공개합니다...,468406,9500,178,3888,2020.8.10,"['축구', '실력', '공개', '김재원']"
129,가짜사나이 교관이 김재원이면 생기는일ㅋㅋㅋㅋㅋ,1012359,16000,354,3601,2020.8.9,"['가짜', '교관', '사나이', '김재원']"
130,가짜사나이식 먹방,882608,14000,370,3104,2020.8.8,"['가짜', '사나이']"
131,현재 난리난 오버워치와 배그를 합친게임   (하이퍼스케이프),231840,5400,145,2153,2020.8.7,"['케이프', '하이', '난리', '게임']"
132,오버워치 맵이 심각하게 커졌습니다...,588192,9100,357,2000,2020.8.6,"['오버', '심각']"
133,이런 게임은 왜 돈주고 파는걸까요?,193267,6200,173,2384,2020.8.5,"['주고', '게임']"
134,내가 가짜사나이를 신청한 이유,455777,1000,179,2223,2020.8.4,"['신청', '이유', '내가', '사나이', '가짜']"
135,다시 이 시절로 돌아갈수 있을까요..?,344160,7400,133,2034,2020.8.3,['시절']
136,김계란님한테 가짜사나이2기 섭외전화 왔습니다....,1404242,22000,362,3461,2020.8.2,"['가짜', '전화', '섭외', '사나이']"
137,김재원 초딩때 패싸움 했던썰 ㄷㄷ,981221,18000,374,4792,2020.8.1,"['패싸움', '김재원']"
138,가짜사나이 그 마지막 이야기.....[김재원 가짜사나이 Ep7],1639612,2000,441,4258,2020.7.31,"['마지막', '사나이', '이야기', '가짜', '김재원']"
139,아프리카 신입BJ로 복귀했습니다,531983,11000,205,1743,2020.7.30,"['복귀', '아프리카', '신입']"
140,랜덤으로 크기정해지는 윤곽선 숨바꼭질ㅋㅋㅋㅋ,821725,1000,389,1859,2020.7.29,"['숨바꼭질', '윤곽선', '크기', '랜덤']"
141,이근 대위님도 놀란 김재원의 충격발언...[김재원 가짜사나이 Ep6],1100324,14000,466,2863,2020.7.28,"['가짜', '발언', '대위', '사나이', '충격', '이근', '김재원']"
142,배틀그라운드로 가짜사나이를 패러디해봤습니다ㅋㅋㅋ,522220,12000,269,2113,2020.7.27,"['패러디', '가짜', '사나이', '그라운드']"
143,방송에선 할수없었던 이야기..... [김재원 가짜사나이 Ep5],479643,1000,144,1891,2020.7.26,"['사나이', '이야기', '방송', '가짜', '김재원']"
144,이제 인성문제 없습니다!!!악!!! [김재원 가짜사나이 Ep4],759789,18000,204,2419,2020.7.25,"['문제', '이제', '인성', '사나이', '가짜', '김재원']"
145,1킬 할때마다 몸이 커지면 생기는일ㅋㅋㅋㅋㅋ,689488,9000,313,2086,2020.7.24,[]
146,저 좀 섹시하나요?,263922,6100,227,2164,2020.7.23,[]
147,오버워치가 망겜이라고?,470554,8100,287,4183,2020.7.22,[]
148,오버워치와 롤에는 소름돋게 똑같은 영웅이 있습니다,672323,11000,346,4927,2020.7.21,"['소름', '영웅']"
149,오버워치 유튜버들이 모인 이유,374710,8400,165,3283,2020.7.20,"['오버', '이유']"
150,첫번째 퇴교자 김재원...   [김재원 가짜사나이 Ep3],1195359,17000,337,3211,2020.7.19,"['가짜', '사나이', '교자', '김재원']"
151,"""가짜""사나이.. ""진짜""입니다   [김재원 가짜사나이 Ep2]",1067711,14000,279,3364,2020.7.18,"['진짜', '가짜', '사나이', '김재원']"
152,오버워치 영웅들이 심각하게 커졌습니다....,897416,12000,491,3564,2020.7.17,"['오버', '영웅']"
153,너 인성 문제있어? [김재원 가짜사나이 Ep1],1981151,24000,588,3405,2020.7.16,"['문제', '인성', '사나이', '가짜', '김재원']"
154,피지컬갤러리 김계란 선생님과 함께..도전하겠습니다,1425393,2000,325,4355,2020.7.15,"['피지', '도전', '갤러리', '선생님']"
155,오버워치에서 수상한 상자를 보내줬습니다...,551549,16000,359,4261,2020.7.14,"['수상', '상자']"
156,이 질문 만든사람 나와라... (밸런스게임),682767,15000,386,3090,2020.7.13,"['질문', '사람', '밸런스', '게임']"
157,오버워치하다가 PTSD 왔습니다..,320941,6900,197,1930,2020.7.12,[]
158,내가 오버워치를 안접는 이유,385323,11000,312,4647,2020.7.11,"['내가', '이유']"
159,히오스에 메이가 출시되었습니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,304280,6800,157,2209,2020.7.10,"['출시', '메이']"
160,나 진짜 달라졌다니까?,340499,6400,164,1909,2020.7.9,[]
161,살려주세요,468834,9700,193,1759,2020.7.8,[]
162,신월중 불주먹 김재원의 전설적인 싸움썰...,593040,13000,240,3246,2020.7.7,"['신월', '싸움', '전설적', '주먹', '김재원']"
163,참교육 하겠습니다.....,765150,1000,432,3480,2020.7.6,['참교육']
164,김재원 5억짜리 페라리 새차뽑았습니다...(812 슈퍼패스트),873779,13000,581,2628,2020.7.5,"['슈퍼', '페라리', '패스트', '김재원']"
165,오버워치 개노답 모드,561370,8700,272,2548,2020.7.4,"['오버', '모드']"
166,약3억짜리 차 구경하다가 사고쳤습니다.....,442804,7800,176,1647,2020.7.3,"['사고', '구경']"
167,화제의 김재원 맥라렌 드디어 팝니다...,316513,7000,196,2636,2020.7.2,"['화제', '김재원']"
168,그럼 다녀오겠습니다...,506769,11000,317,4029,2020.7.1,[]
169,안녕하세요 김재쓰리 입니다,424500,1000,732,5235,2020.6.30,"['하세', '안녕', '쓰리']"
170,겐지가 사기가 되는방법,362613,6700,147,2224,2020.6.29,"['사기', '방법']"
171,오버워치에서 팀킬을 허용안하는 이유,726159,1000,367,2720,2020.6.28,"['허용', '이유']"
172,그동안 감사했습니다,538165,15000,680,4309,2020.6.27,"['그동안', '감사']"
173,꽈뚜룹님 작작하세요...,472687,9900,294,2749,2020.6.26,[]
174,(충격)이 게임은 운영자가 버린게임 입니다,895788,11000,344,2296,2020.6.25,"['자가', '게임', '운영', '충격']"
175,오버워치 리거도 인정한 김재원의 메이 실력ㄷㄷ,410560,6900,185,1240,2020.6.24,"['오버', '거도', '메이', '인정', '실력', '김재원']"
176,공식방송에서 보여준 김재원의 정신나간 로드호그 실력,375571,6500,186,1614,2020.6.23,"['로드', '실력', '나간', '방송', '공식', '정신', '김재원']"
177,군대 갑니다...,823076,2000,737,5661,2020.6.22,['군대']
178,헬창들한테서 도망가는 게임,853488,14000,285,3592,2020.6.21,['게임']
179,옵치프로게이머 학살님이 생각하는 김재원의 문제점,367110,8200,246,2608,2020.6.20,"['문제점', '생각', '학살', '프로', '게이', '김재원']"
180,김재원 인트로 춤의 비밀,1096193,22000,333,6236,2020.6.19,"['비밀', '김재원']"
181,술먹고 기억이 안납니다...,347658,8000,156,1816,2020.6.18,['기억']
182,유튜버 이상형월드컵 1위 김재원,783200,13000,400,3049,2020.6.17,"['이상형', '월드컵', '김재원']"
183,다이어트 한달 지났습니다 몸무게가 무려....,369206,8700,181,2601,2020.6.16,"['몸무게', '다이어트']"
184,오버워치 욕설유저는 무조건 사야하는 키보드,802405,12000,328,3519,2020.6.15,"['오버', '키보드', '유저', '욕설']"
185,드디어 공개합니다...,759497,15000,411,3085,2020.6.14,['공개']
186,가상현실에서 오버워치 숨바꼭질을 해봤습니다,858970,17000,353,3368,2020.6.13,"['오버', '가상현실', '숨바꼭질']"
187,기자님 이건 너무한거 아닌가요?,542058,13000,241,3406,2020.6.12,['기자']
188,오버워치가 변했습니다...,679309,11000,362,4234,2020.6.11,[]
