,title,view,like,unlike,comment,date,token2
224,만 시간의 법칙 [배틀그라운드],505290,6700,134,927,2020.4.1,['시간' '법칙' '그라운드']
225,드디어 엠포그라운드의 시대는 갔습니다. [배틀그라운드],461386,5100,108,702,2020.3.31,['시대' '그라운드']
226,양각벌린 핵스쿼드 VS 뜨뜨뜨뜨 [배틀그라운드],377969,5200,115,754,2020.3.30,['양각' '그라운드']
227,한국인 무시하길래 클라스 바로 보여줬습니다 [배틀그라운드],813845,9600,239,1300,2020.3.29,['무시' '그라운드' '한국인']
228,이제 엠포보다 움프? 개사기 됐다는 움프 실험 해봤습니다 [배틀그라운드],443981,4600,134,598,2020.3.28,['실험' '사기' '그라운드']
229,핵쟁이 죽였더니 제가 정지를 당했습니다 [배틀그라운드],465943,6200,136,1029,2020.3.27,['정지' '그라운드' '제가']
230,현재 배틀그라운드 3주년 스킨을 끼면 안되는 이유 [배틀그라운드],468865,6000,172,811,2020.3.26,['이유' '그라운드' '스킨']
231,뭘 좋아할지 몰라서 다 준비 해봤어 [주간하이라이뜨],354660,5600,90,587,2020.3.25,['무엇' '주간' '하이' '준비']
232,바주카포로 저격하는 미친남자ㅋㅋㅋㅋ  [주간하이라이뜨],411912,4900,98,526,2020.3.24,['저격' '주간' '하이' '바주카' '남자' '포로']
233,요즘 치킨을 못먹는건 여러분들의 잘못이 아닙니다 [배틀그라운드],431266,5700,138,1570,2020.3.23,['잘못' '치킨' '요즘' '그라운드']
234,현시점 배틀그라운드,902978,11000,282,3547,2020.3.22,['그라운드' '현시점']
235,펍쥐의 실수 현재 필드드랍 개망나니총 ㅋㅋㅋㅋ [배틀그라운드],489707,4800,119,699,2020.3.21,['현재' '필드' '실수' '그라운드']
236,동접자수 700만 . 역대급 갓겜 무료 배틀로얄 [콜오브듀티:워존],767246,6200,254,1039,2020.3.20,['자수' '동접' '무료' '듀티' '역대']
237,미친 대격변 패치.. 이제 M249랑 DBS가 필드드랍 이라고?  주총변경 간다 [배틀그라운드],440150,5300,129,1084,2020.3.19,['변경' '주총' '격변' '그라운드']
238,뜨뜨뜨뜨가 우지를 쓰는 이유  [배틀그라운드],471160,5500,147,516,2020.3.18,['우지' '이유' '그라운드']
239,괴물쥐님을 만났습니다... [리그오브레전드],444646,3800,98,462,2020.3.17,['괴물' '리그']
240,누구보다 맛나게 죽는남자 [주간하이라이뜨],397070,6000,106,840,2020.3.16,['남자' '주간' '하이']
241,패치이후 등장한 정신나간 쌍바주카포 빌런ㅋㅋㅋㅋㅋㅋ[배틀그라운드],643246,5300,163,538,2020.3.15,['이후' '정신' '패치' '그라운드' '등장' '나간' '바주카']
242,오랜만에 쏟아진 미션.. 인생역전각이다 [배틀그라운드],452168,5800,137,559,2020.3.14,['인생' '미션' '전각' '오랜만' '그라운드']
243,부트캠프 삼창에서 ◈16:1◈ 레전드 갱신 했습니다[배틀그라운드],536592,5700,135,570,2020.3.13,['갱신' '삼창' '캠프' '그라운드']
244,역대급 밸런스파괴 무기 바주카포 등장.. 완벽해부 갑니다 [배틀그라운드],527478,5300,159,706,2020.3.12,['밸런스' '해부' '등장' '완벽' '역대' '무기' '그라운드' '바주카' '파괴']
245,배틀그라운드에서 가장 혐오 스러운 자기장 [배틀그라운드],336764,4400,101,567,2020.3.11,['자기장' '혐오' '그라운드']
246,배틀그라운드 혼자서 2배속으로 게임하는 사람 [배틀그라운드],508127,6400,153,1409,2020.3.10,['게임' '사람' '배속' '그라운드' '혼자']
247,랭크전에서 카배솔로 1위를  만났습니다.. 레전드 [배틀그라운드],695975,7300,195,1025,2020.3.9,['랭크' '솔로' '그라운드']
248,더샤이가 연습중인 탑 칼날비 칼리스타 한번 해봤습니다 [리그오브레전드],518488,3700,135,432,2020.3.8,['칼리' '칼날' '리그' '스타' '연습' '중인']
249,잊을만 하면 돌아오는 스피드 Q&A . 시작합니다,1238403,2000,307,3089,2020.3.7,['스피드' '시작']
250,결국 미쳐서 배그 운영자분들한테 한마디 했습니다 [배틀그라운드],376965,5100,142,1471,2020.3.5,['한마디' '운영자' '그라운드']
251,뜨뜨뜨뜨 일대기 ..  배린이 시절 충격적 과거 오픈 [배틀그라운드],1546419,16000,433,1923,2020.3.3,['시절' '충격적' '일대기' '과거' '그라운드' '오픈']
252,요즘 애들은 모르는 배그 갓겜이던 시절 공개합니다 [배틀그라운드],940542,9600,214,2406,2020.3.2,['공개' '그라운드' '요즘' '시절']
253,여태까지 숨겨왔었던 영업비밀 결국 공개합니다.. [배틀그라운드],485221,5600,144,794,2020.2.29,['영업' '여태' '공개' '그라운드' '비밀' '결국']
254,뜨뜨뜨뜨의 배틀그라운드 실력.. 객관적으로 평가 받아봤습니다 [배틀그라운드],403582,4800,94,569,2020.2.28,['평가' '객관적' '그라운드' '실력']
255,현재 10사기 되버린 화염병 근황 [배틀그라운드],410868,5000,128,735,2020.2.27,['사기' '현재' '그라운드' '화염병' '근황']
256,펍쥐가 삭제까지 시켰었던 그 총 한번 써봤습니다 [배틀그라운드],658485,6200,195,783,2020.2.26,['그라운드' '한번' '삭제']
257,역대급레전드 93킬로 전세계 1위 최다킬 갱신 [배틀그라운드],522430,6800,155,1394,2020.2.25,['최다' '갱신' '세계' '그라운드' '역대']
258,2020버전 신 고인물 슬라이딩의 등장. 지금 공개합니다 [배틀그라운드],538147,6100,177,1531,2020.2.24,['버전' '지금' '고인물' '공개' '그라운드' '등장' '슬라이딩']
259,맨손으로 치킨 가능한 현시점 가장 심각한 버그 공개합니다.. [배틀그라운드],826914,12000,319,1724,2020.2.23,['가능' '공개' '버그' '현시점' '그라운드' '맨손']
260,핵쟁이 vs 뜨뜨뜨뜨 팀데스매치 캐리대결 [배틀그라운드],268695,3600,81,558,2020.2.21,['캐리' '그라운드' '대결']
261,팀데스매치 59킬 최다킬 기록 세웠습니다 [배틀그라운드],589109,7300,181,1176,2020.2.20,['기록' '최다' '그라운드']
262,뜨뜨뜨뜨 사기사건 해명하겠습니다,268241,5900,113,1243,2020.2.19,['사건' '해명' '사기']
263,2년동안 아껴왔던 미공개 영상 최초공개 합니다 [배틀그라운드],471320,6800,127,1566,2020.2.18,['최초' '공개' '영상' '그라운드' '동안']
